Semiconductors,gap
Cs0.5Ag0.5Ga1Te2_kesterite,0.53
Cs0.5Ag0.5In1S1Te1_kesterite,0.33
Cs0.5Ag0.5In1S1Te1_stannite,0.54
Cs0.5Ag0.5In1Se2_kesterite,1.51
Cs0.5Ag0.5In1Se2_stannite,0.83
Cs0.5Cu0.5Ag1Mg0.5Ca0.5Ge1Se1Te3_kesterite,1.07
Cs0.5Cu0.5Ag1Mg0.5Ca0.5Ge1Se1Te3_stannite,0.2
Cs0.5Cu0.5Ag1Zn0.5Cd0.5Sn0.5Ge0.5S3Se1_stannite,1
Cs0.5Cu0.5Al0.5Ga0.5S1Se1_kesterite,-0.02
Cs0.5Cu0.5Al0.5Ga0.5S1Se1_stannite,1.26
Cs0.5Cu0.5Al0.5Ga0.5S2_stannite,0.77
Cs0.5Cu0.5Al0.5Ga0.5Se1Te1_stannite,0.61
Cs0.5Cu0.5Al0.5In0.5S1Te1_kesterite,-0.22
Cs0.5Cu0.5Al0.5In0.5S1Te1_stannite,0.56
Cs0.5Cu0.5Al0.5In0.5Se1Te1_kesterite,0.91
Cs0.5Cu0.5Al0.5In0.5Se1Te1_stannite,0.69
Cs0.5Cu0.5Al0.5In0.5Se2_stannite,0.85
Cs0.5Cu0.5Al1S1Se1_kesterite,0.24
Cs0.5Cu0.5Al1S1Se1_stannite,1.48
Cs0.5Cu0.5Al1S2_stannite,0.83
Cs0.5Cu0.5Al1Se1Te1_stannite,0.83
Cs0.5Cu0.5Ga0.5In0.5S1Se1_kesterite,0.36
Cs0.5Cu0.5Ga0.5In0.5S1Se1_stannite,0.88
Cs0.5Cu0.5Ga1S1Te1_kesterite,0.28
Cs0.5Cu0.5Ga1S1Te1_stannite,0.09
Cs0.5Cu0.5In1S1Se1_stannite,1.21
Cs0.5Cu0.5In1S1Te1_kesterite,0.19
Cs0.5Cu0.5In1S1Te1_stannite,0.58
Cs0.5Cu0.5In1S2_kesterite,0.26
